name,list1,list2,list3,list4
新北市自閉症服務協進會,1,0,1,0
財團法人天主教主顧修女會,1,0,1,0
財團法人淨化社會文教基金會,1,0,1,0
社團法人中華民國照顧服務員專業發展協會,1,1,0,0
社團法人中華科技輔具協會,1,0,1,0
財團法人利伯他茲教育基金會,1,0,1,0
財團法人中嶺山內心教育基金會,1,1,0,0
社團法人新北市光點兒童重症扶助協會,1,1,0,0
新北市原住民婦女服務協會,1,0,1,0
台灣彩虹愛家生命教育協會,1,0,1,0
中華基督教救助協會,1,0,1,0
新北市家庭照顧者關懷協會,1,0,1,0
中華曙光慈愛協會,1,1,0,0
財團法人新北市大樹社會福利基金會,1,1,0,0
財團法人天主教耶穌會新竹社會服務中心,1,0,1,0
社團法人新竹市精神健康協會,1,0,1,0
社團法人新竹市智障福利協進會,1,0,1,0
財團法人台灣省天主教會新竹教區附設德蘭兒童中心,1,0,1,0
財團法人私立天主教華光智能發展中心,1,0,1,0
台灣省寧園安養院,1,0,1,0
彰化縣秀水鄉馬興社區發展協會,1,0,1,0
社團法人宜蘭縣康復之友協會,1,0,1,0
社團法人宜蘭縣得安家庭關懷協會,1,0,1,0
財團法人宜蘭縣私立慕光盲人重建中心,1,0,1,0
財團法人宜蘭縣私立竹安身心障礙養護院,1,0,1,0
財團法人宜蘭縣私立竹林養護院,1,0,1,0
財團法人宜蘭縣私立蘭馨婦幼中心,1,0,1,0
宜蘭縣領袖發展協會,1,1,0,0
社團法人雲林縣復健青年協進會,1,0,1,0
雲林縣婦女保護會,1,0,1,0
社團法人雲林縣老人長期照護協會,1,0,1,0
清翔舞蹈研究社,1,1,0,0
財團法人雲林縣雲萱基金會,1,0,1,0
社團法人雲林縣視障重建福利協進會,1,0,1,0
社團法人雲林縣社會關懷協會,1,0,1,0
雲林縣百日草希望家庭協會,1,1,0,0
社團法人雲林縣聲暉協進會,1,0,1,0
社團法人雲林縣虎尾殘障福利協會,1,0,1,0
雲林縣貓兒干文史協會,1,1,0,0
社團法人雲林縣台西身心障礙者福利協會,1,0,1,0
社團法人彰化縣自閉症肯納家長協會,1,0,1,0
財團法人彰化縣私立秀和慈善事業基金會,1,0,0,1
財團法人彰化縣私立慈生仁愛院,1,0,1,0
社團法人彰化縣脊髓損傷重建協會,1,0,1,0
財團法人天主教會台中教區附設彰化縣私立聖智啟智中心,1,0,1,0
社團法人彰化縣秀水鄉雅興社區發展協會,1,0,1,0
社團法人彰化縣愛加倍社區服務協會,1,0,1,0
財團法人愛家文化事業基金會,0,1,0,1
財團法人慈興文教基金會,0,1,1,0
財團法人礦工兒子教育基金會,0,1,0,1
財團法人十方啟智文教基金會附設十方啟能中心,0,1,1,0
財團法人臺北市華書慈善基金會,0,1,0,1
財團法人臺北市松陽社會福利事業基金會,0,1,1,0
財團法人桃園市私立仁友愛心家園,0,1,0,1
財團法人天主教會台中教區附設南投縣私立復活啟智中心,0,1,1,0
財團法人宜蘭縣私立天主教弘道仁愛之家,0,1,1,0
財團法人彰化縣私立青山社會福利慈善事業基金會,0,1,1,0
財團法人忠義社會福利事業基金會,0,1,1,0
高雄市音樂養生慈善公益協會,0,1,1,0
社團法人高雄市彩色頁女性願景協會,0,1,1,0
社團法人高雄市脊髓損傷者協會,0,1,1,0
社團法人高雄市亞鐳慈善會,0,1,1,0
社團法人高雄市注意力缺陷過動症協會,0,1,1,0
社團法人基隆市智障者家長協會,0,1,1,0
社團法人苗栗縣身心障礙福利協進會,0,1,1,0
社團法人苗栗縣自閉症協進會,0,1,1,0
社團法人南投縣基督教青年會,0,1,1,0
社團法人南投縣聾啞福利協進會,0,1,1,0
社團法人屏東縣向陽啟能協會,0,1,1,0
社團法人屏東縣原住民全人關懷促進協會,0,1,1,0
社團法人台北市恩加貧困家庭協會,0,1,1,0
社團法人台灣同志諮詢熱線協會,0,1,1,0
社團法人台灣應用行為分析協會,0,1,1,0
社團法人台中市慈善撒瑪黎雅婦女關懷協會,0,1,1,0
社團法人台中市脊髓損傷者協會,0,1,1,0
社團法人台中市晚晴婦女協會,0,1,1,0
社團法人臺南市以琳之家關懷協會,0,1,0,1
社團法人臺灣圓愛全人關懷協會,0,1,1,0
社團法人臺中市山海屯啟智協會,0,1,1,0
社團法人新北市視障協會,0,1,1,0
社團法人新北市智障者家長協會,0,1,1,0
社團法人宜蘭縣生命線協會,0,1,1,0
社團法人宜蘭縣智障者權益促進會,0,1,1,0
社團法人雲林縣盲人褔利協進會,0,1,1,0
社團法人彰化縣聾人協會,0,1,1,0
社團法人中華好家庭關懷協會,0,1,1,0
社團法人中華民國更生少年關懷協會,0,1,0,1
社團法人中華民國紅心字會,0,1,0,1
社團法人中華民國貓頭鷹親子教育協會,0,1,1,0
